PLAYER,TEAM,GP,W,L,MIN,"PASSES
MADE","PASSES
RECEIVED",AST,"SECONDARY
AST","POTENTIAL
AST","AST
ADJ","AST TO
PASS%","AST TO
PASS% ADJ",Good Passes
Jeremy Lin,BKN,1,0,1,25,32,49,4,0,7,4,12.5,12.5,11
Jerian Grant,CHI,74,24,50,1686,2999,3287,342,32,661,378,11.4,12.6,1035
Jerryd Bayless,PHI,38,21,17,908,796,984,54,14,116,71,6.8,8.9,184
Jimmy Butler,MIN,59,37,22,2164,2395,2832,288,24,544,321,12,13.4,856
Joakim Noah,NYK,7,1,6,40,77,48,4,0,14,4,5.2,5.2,18
Jodie Meeks,WAS,77,41,36,1119,983,1237,70,8,142,82,7.1,8.3,220
Joe Harris,BKN,77,26,51,1948,2047,2009,127,21,274,158,6.2,7.7,422
Joe Ingles,UTA,82,48,34,2579,3175,3455,392,37,708,466,12.3,14.7,1137
Joe Johnson,HOU,55,35,20,1205,1411,1169,83,10,199,94,5.9,6.7,292
Joe Young,IND,53,28,25,558,633,781,39,6,87,46,6.2,7.3,132
Joel Bolomboy,MIL,6,3,3,38,35,23,0,1,4,1,0,2.9,5
Joel Embiid,PHI,62,41,21,1882,3136,3191,194,18,352,224,6.2,7.1,564
Joffrey Lauvergne,SAS,55,30,25,534,576,492,41,3,79,47,7.1,8.2,123
John Collins,ATL,73,21,52,1760,2648,1874,97,11,183,110,3.7,4.2,291
John Henson,MIL,75,39,36,1953,1603,1404,114,9,172,127,7.1,7.9,295
John Holland,CLE,24,17,7,174,120,137,5,2,12,7,4.2,5.8,19
John Wall,WAS,41,23,18,1410,2222,2849,393,29,720,432,17.7,19.4,1142
Johnathan Motley,DAL,11,1,10,176,189,174,7,1,13,8,3.7,4.2,21
Johnny O'Bryant III,CHA,36,15,21,379,416,351,14,2,45,17,3.4,4.1,61
Jon Leuer,DET,8,5,3,136,176,125,5,2,11,7,2.8,4,18
Jonas Jerebko,UTA,74,45,29,1134,1655,1233,42,7,89,51,2.5,3.1,138
Jonas Valanciunas,TOR,77,56,21,1727,2716,1845,81,12,159,97,3,3.6,252
Jonathan Gibson,BOS,4,2,2,40,27,50,4,0,7,4,14.8,14.8,11
Jonathan Isaac,ORL,27,11,16,535,563,359,18,2,39,22,3.2,3.9,59
Jonathon Simmons,ORL,69,21,48,2029,1807,2379,171,17,372,197,9.5,10.9,560
Jordan Bell,GSW,57,43,14,809,1283,890,102,9,169,114,8,8.9,280
Jordan Clarkson,CLE,81,40,41,1887,2073,2861,221,22,423,255,10.7,12.3,666
Jordan Crawford,NOP,5,3,2,53,97,111,13,1,20,14,13.4,14.4,34
Jordan Mickey,MIA,23,15,8,284,420,223,9,0,22,9,2.1,2.1,31
Jose Calderon,CLE,57,33,24,914,1492,1460,117,27,214,150,7.8,10.1,358
Josh Gray,PHX,5,0,5,86,161,190,12,2,28,14,7.5,8.7,42
Josh Hart,LAL,63,27,36,1461,1031,1007,80,15,148,97,7.8,9.4,243
Josh Huestis,OKC,68,43,25,968,646,435,19,5,35,24,2.9,3.7,59
Josh Jackson,PHX,77,19,58,1959,1599,1903,119,9,237,136,7.4,8.5,365
Josh Magette,ATL,18,3,15,216,432,463,57,3,110,60,13.2,13.9,170
Josh McRoberts,DAL,2,2,0,6,5,4,0,0,0,0,0,0,0
Josh Richardson,MIA,80,43,37,2657,3333,3422,230,33,472,271,6.9,8.1,735
Josh Smith,NOP,3,2,1,12,21,12,0,0,6,2,0,9.5,6
Jrue Holiday,NOP,81,47,34,2927,4440,4989,486,60,899,570,10.9,12.8,1445
Juancho Hernangomez,DEN,25,15,10,277,260,194,12,2,22,14,4.6,5.4,36
Julius Randle,LAL,82,35,47,2190,2796,2639,210,29,399,246,7.5,8.8,638
Julyan Stone,CHA,23,10,13,175,213,186,26,3,53,31,12.2,14.6,82
Justin Anderson,PHI,37,27,10,515,496,513,25,6,51,31,5,6.3,82
Justin Holiday,CHI,72,24,48,2265,1483,2015,153,24,282,182,10.3,12.3,459
Justin Jackson,SAC,68,21,47,1506,1345,1216,74,11,136,88,5.5,6.5,221
Justin Patton,MIN,1,0,1,4,2,2,0,0,0,0,0,0,0
Justise Winslow,MIA,67,32,35,1655,2461,1800,147,13,313,161,6,6.5,473
Jusuf Nurkic,POR,79,48,31,2088,3185,2347,143,11,281,163,4.5,5.1,435
Kadeem Allen,BOS,18,9,9,107,158,160,12,1,21,13,7.6,8.2,34
Karl-Anthony Towns,MIN,82,47,35,2918,4102,3341,199,24,350,232,4.9,5.7,573
Kawhi Leonard,SAS,9,5,4,210,215,291,21,2,46,23,9.8,10.7,69
Kay Felder,DET,16,6,10,140,225,296,20,5,41,26,8.9,11.6,66
Kelly Olynyk,MIA,75,41,34,1751,2848,2330,204,18,395,227,7.2,8,617
Kelly Oubre Jr.,WAS,81,43,38,2231,1713,1803,98,12,181,111,5.7,6.5,291
Kemba Walker,CHA,80,36,44,2736,4518,5867,444,81,839,553,9.8,12.2,1364
Kendrick Perkins,CLE,1,0,1,15,19,15,2,0,4,3,10.5,15.8,6
Kenneth Faried,DEN,32,16,16,461,442,319,18,2,36,20,4.1,4.5,56
Kent Bazemore,ATL,64,19,45,1759,2382,2425,224,17,414,245,9.4,10.3,655
Kentavious Caldwell-Pope,LAL,74,31,43,2458,2118,2146,162,23,321,191,7.6,9,506
Kevin Durant,GSW,68,49,19,2325,2854,3494,366,49,614,426,12.8,14.9,1029
Kevin Love,CLE,59,37,22,1651,2092,1633,103,19,182,128,4.9,6.1,304
Kevon Looney,GSW,66,45,21,910,1108,810,42,6,89,49,3.8,4.4,137
Khem Birch,ORL,42,14,28,578,643,426,34,6,51,41,5.3,6.4,91
Khris Middleton,MIL,81,44,37,2947,3499,3736,326,25,612,373,9.3,10.7,963
Klay Thompson,GSW,73,55,18,2504,2028,2966,185,46,314,240,9.1,11.8,545
Kobi Simmons,MEM,32,6,26,643,1008,1160,68,8,134,77,6.7,7.6,210
Kosta Koufos,SAC,71,22,49,1391,1977,1289,87,8,167,100,4.4,5.1,262
Kris Dunn,CHI,52,19,33,1525,2878,3338,310,26,594,347,10.8,12.1,930
Kristaps Porzingis,NYK,48,22,26,1553,1780,1910,57,12,129,73,3.2,4.1,198
Kyle Anderson,SAS,74,41,33,1978,2342,1883,202,33,381,245,8.6,10.5,616
Kyle Collinsworth,DAL,32,9,23,480,607,549,56,6,129,61,9.2,10,191
Kyle Korver,CLE,73,43,30,1574,986,1200,88,7,150,98,8.9,9.9,245
Kyle Kuzma,LAL,77,34,43,2401,2353,2190,141,16,276,157,6,6.7,433
Kyle Lowry,TOR,78,57,21,2510,4484,4699,537,41,951,597,12,13.3,1529
Kyle O'Quinn,NYK,76,27,49,1362,2345,1503,156,5,283,163,6.7,7,444
Kyle Singler,OKC,11,5,6,36,33,37,2,0,5,2,6.1,6.1,7
Kyrie Irving,BOS,57,38,19,1834,2963,3724,287,58,584,350,9.7,11.8,929
LaMarcus Aldridge,SAS,75,45,30,2509,2849,3248,152,42,285,193,5.3,6.8,479
Lance Stephenson,IND,82,48,34,1850,2014,2166,235,13,447,262,11.7,13,695
Lance Thomas,NYK,72,24,48,1328,1229,928,43,3,102,48,3.5,3.9,148
Langston Galloway,DET,58,28,30,863,780,977,58,11,116,71,7.4,9.1,185
Larry Drew II,NOP,10,6,4,70,105,129,10,0,19,10,9.5,9.5,29
Larry Nance Jr.,CLE,66,32,34,1421,1877,1137,82,10,167,93,4.4,5,259
Lauri Markkanen,CHI,68,23,45,2020,3737,2440,79,16,171,96,2.1,2.6,266
LeBron James,CLE,82,50,32,3026,4674,5703,747,64,1426,836,16,17.9,2237
London Perrantes,CLE,14,8,6,66,96,97,5,3,16,9,5.2,9.4,24
Lonzo Ball,LAL,52,24,28,1780,3403,3303,376,28,685,416,11,12.2,1089
Lorenzo Brown,TOR,14,9,5,139,196,198,13,4,23,17,6.6,8.7,40
Lou Williams,LAC,79,42,37,2589,3149,4293,417,56,675,497,13.2,15.8,1148
Luc Mbah a Moute,HOU,61,52,9,1564,1117,958,55,6,108,65,4.9,5.8,169
Lucas Nogueira,TOR,49,36,13,418,458,333,22,3,44,25,4.8,5.5,69
Luis Montero,DET,2,1,1,8,3,5,0,0,0,0,0,0,0
Luke Babbitt,MIA,49,15,34,690,816,663,29,6,52,37,3.6,4.5,87
