Rk,Season,Age,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
213,2017-18,26,MIA,NBA,Rodney McGruder,18,2,299,4.3,8.8,2.5,4.6,1.8,4.2,0.5,1,1.3,2.5,3.9,2,1,0.4,0.5,2.5,11,0.493,0.553,0.429,0.596,0.5,0.595
214,2017-18,30,GSW,NBA,JaVale McGee,65,17,615,8,12.8,8,12.5,0,0.4,2.2,3,3.5,6.4,9.9,1.9,1.2,3.3,1.6,5.3,18.1,0.621,0.638,0,0.621,0.731,0.641
215,2017-18,26,TOT,NBA,Doug McDermott,81,4,1768,4.8,10.3,3,5.9,1.9,4.4,1.3,1.6,0.8,3.3,4.1,1.6,0.4,0.3,1.1,2.5,12.8,0.467,0.497,0.426,0.557,0.79,0.579
216,2017-18,22,WAS,NBA,Chris McCullough,19,0,90,7.2,16.8,6.8,13.6,0.4,3.2,3.6,5.6,2.8,7.2,10,1.6,0,2,0.8,3.2,18.4,0.429,0.5,0.125,0.44,0.643,0.478
217,2017-18,24,UTA,NBA,Erik McCree,4,0,8,0,9,0,4.5,0,4.5,0,0,0,4.5,4.5,0,4.5,0,4.5,0,0,0,0,0,0,,0
218,2017-18,25,PHI,NBA,T.J. McConnell,76,1,1706,4.4,8.9,3.9,7.6,0.6,1.3,0.7,0.8,0.8,4,4.8,6.4,1.9,0.3,2.4,2.6,10.1,0.499,0.51,0.435,0.531,0.795,0.545
219,2017-18,26,POR,NBA,CJ McCollum,81,81,2923,8.2,18.5,5.9,12.7,2.3,5.9,2.6,3.1,0.7,3.3,4,3.3,0.9,0.4,1.9,2.1,21.3,0.443,0.465,0.397,0.506,0.836,0.536
220,2017-18,22,GSW,NBA,Patrick McCaw,57,10,961,3.4,8.4,2.7,5.4,0.7,3,1,1.3,0.6,2.5,3.1,3,1.6,0.4,1.5,2.5,8.6,0.409,0.503,0.238,0.451,0.765,0.477
Rk,Season,Age,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
221,2017-18,25,PHI,NBA,James Michael McAdoo,3,0,18,4,14,0,0,4,14,4,4,0,4,4,0,0,2,2,2,16,0.286,,0.286,0.429,1,0.508
222,2017-18,31,HOU,NBA,Luc Mbah a Moute,61,15,1564,3.8,7.9,2.4,4,1.5,4,1.5,2.2,0.5,3.8,4.3,1.3,1.7,0.6,1.6,2.3,10.6,0.481,0.599,0.364,0.572,0.684,0.595
223,2017-18,31,DAL,NBA,Wesley Matthews,63,62,2131,4.8,11.8,2.2,5,2.6,6.8,1.4,1.7,0.5,2.9,3.3,2.9,1.3,0.3,1.4,2.4,13.5,0.406,0.441,0.381,0.516,0.822,0.541
224,2017-18,25,CHO,NBA,Mangok Mathiang,4,0,20,7.2,12.6,7.2,12.6,0,0,0,1.8,5.4,12.6,18,0,1.8,0,0,9,14.4,0.571,0.571,,0.571,0,0.538
225,2017-18,23,SAC,NBA,Frank Mason,52,2,984,5.3,13.9,4.1,10.8,1.1,3.1,3.4,4.2,1.1,3.7,4.8,5.4,1.2,0.4,2.4,2.6,15.1,0.379,0.384,0.36,0.42,0.817,0.48
226,2017-18,23,MEM,NBA,Jarell Martin,73,36,1661,4.8,10.8,4.1,8.6,0.7,2.1,1.9,2.5,2.1,4.8,6.9,1.6,0.8,1.1,1.9,4.6,12.2,0.446,0.47,0.347,0.48,0.767,0.516
227,2017-18,20,CHI,NBA,Lauri Markkanen,68,68,2020,6.7,15.4,4.1,8.2,2.6,7.1,2.5,3,1.4,7.6,9.1,1.4,0.7,0.7,1.5,1.8,18.4,0.434,0.497,0.362,0.518,0.843,0.552
228,2017-18,29,TOT,NBA,Boban Marjanovic,39,1,337,8.4,15.8,8.4,15.8,0,0,8.2,10.4,5.1,10.3,15.4,2.4,1.1,1.2,3.8,5.4,25.1,0.534,0.534,,0.534,0.794,0.616
229,2017-18,20,MIL,NBA,Thon Maker,74,12,1238,3.8,9.2,2.9,6.2,0.9,3,1.9,2.7,2.2,4.4,6.5,1.3,1.1,1.5,1.3,4.7,10.4,0.411,0.467,0.298,0.46,0.699,0.499
230,2017-18,31,WAS,NBA,Ian Mahinmi,77,0,1145,4.3,7.8,4.3,7.7,0,0.1,2.8,4,4.2,5.6,9.8,1.7,1.2,1.3,3.1,7.2,11.5,0.556,0.561,0,0.556,0.703,0.601
231,2017-18,28,ATL,NBA,Josh Magette,18,0,216,2.5,7.7,1.2,4,1.3,3.7,1.3,1.3,0.3,2.8,3.2,9.5,1.3,0.2,1.5,2.7,7.7,0.326,0.292,0.364,0.413,1,0.464
232,2017-18,27,ORL,NBA,Shelvin Mack,69,3,1365,4.7,10.9,3.4,7.3,1.3,3.7,1.8,2.6,0.6,3.8,4.4,7.2,1.4,0.2,2.3,2.4,12.5,0.43,0.473,0.345,0.488,0.711,0.518
233,2017-18,22,DEN,NBA,Trey Lyles,73,2,1391,7,14.2,4.8,8.6,2.1,5.6,2.6,3.8,1.4,7.6,9,2.4,0.8,0.9,1.6,2.9,18.7,0.491,0.563,0.381,0.566,0.697,0.59
234,2017-18,21,DEN,NBA,Tyler Lydon,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
235,2017-18,22,PHI,NBA,Timothe Luwawu-Cabarrot,52,7,807,4.5,11.9,2.1,4.9,2.4,7,2.1,2.6,0.6,2.6,3.2,2.4,0.5,0.2,1.7,4.3,13.3,0.375,0.431,0.335,0.474,0.793,0.511
236,2017-18,31,TOR,NBA,Kyle Lowry,78,78,2510,5.8,13.5,2.4,5,3.4,8.5,3.2,3.7,0.9,5.3,6.2,7.7,1.2,0.3,2.6,2.8,18.2,0.427,0.474,0.399,0.553,0.854,0.598
237,2017-18,29,CLE,NBA,Kevin Love,59,59,1651,7.3,15.9,4.3,8.7,3,7.2,5.1,5.8,2.2,9.7,11.9,2.2,0.9,0.5,2,2.6,22.7,0.458,0.494,0.415,0.552,0.88,0.614
238,2017-18,29,CHI,NBA,Robin Lopez,64,64,1690,7.3,13.7,7.2,13.4,0.1,0.3,1.4,1.9,2.9,3.3,6.2,2.6,0.3,1.1,2.3,2.3,16.1,0.53,0.536,0.286,0.533,0.756,0.552
239,2017-18,29,LAL,NBA,Brook Lopez,74,72,1735,7.7,16.5,5.3,9.7,2.3,6.7,2.3,3.3,1.5,4.6,6.1,2.6,0.6,2,2,4.1,19.9,0.465,0.549,0.345,0.536,0.703,0.557
240,2017-18,21,GSW,NBA,Kevon Looney,66,4,910,4.4,7.6,4.4,7.4,0,0.2,1.7,3,3.3,5.2,8.5,1.7,1.3,2.2,1.2,4.2,10.6,0.58,0.59,0.2,0.583,0.545,0.588
Rk,Season,Age,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
241,2017-18,32,GSW,NBA,Shaun Livingston,71,7,1129,5.5,10.9,5.5,10.8,0,0.2,1.6,1.9,1,3.2,4.2,4.5,1.1,0.7,1.8,3.7,12.6,0.501,0.509,0,0.501,0.82,0.533
242,2017-18,29,BRK,NBA,Jeremy Lin,1,1,25,7.2,17.3,5.8,14.4,1.4,2.9,10.1,10.1,0,0,0,5.8,0,0,4.3,4.3,25.9,0.417,0.4,0.5,0.458,1,0.597
243,2017-18,27,POR,NBA,Damian Lillard,73,73,2670,8.4,19.1,5.3,10.6,3.1,8.5,6.6,7.3,0.8,3.5,4.4,6.5,1,0.4,2.8,1.6,26.5,0.439,0.501,0.361,0.519,0.916,0.594
244,2017-18,29,TOT,NBA,DeAndre Liggins,58,4,724,2,5.3,1,2.6,0.9,2.6,0.1,0.2,0.3,3.4,3.7,2.4,1.8,0.7,1,4,5,0.377,0.396,0.358,0.467,0.4,0.467
245,2017-18,23,BRK,NBA,Caris LeVert,71,10,1864,6.2,14.2,4.5,9.5,1.6,4.7,2.6,3.6,1,4,5,5.8,1.6,0.4,3,3.1,16.6,0.435,0.48,0.347,0.493,0.711,0.525
246,2017-18,28,DET,NBA,Jon Leuer,8,0,136,4,9.5,4,8.7,0,0.8,3.4,4,1.9,6.6,8.5,1.3,0.3,0.8,1.9,4.2,11.4,0.417,0.455,0,0.417,0.867,0.505
247,2017-18,25,POR,NBA,Meyers Leonard,33,2,254,6.5,11.1,5,7.4,1.6,3.7,1.3,1.6,1.7,8.2,9.9,2.4,1,0,1.4,5.1,15.9,0.59,0.673,0.423,0.66,0.818,0.676
248,2017-18,26,SAS,NBA,Kawhi Leonard,9,9,210,8.9,19,7,13,1.9,6,5.3,6.5,1,6.2,7.2,3.6,3.1,1.5,2.7,1.5,25,0.468,0.539,0.314,0.518,0.816,0.572
249,2017-18,24,PHO,NBA,Alex Len,69,13,1395,5.5,9.8,5.5,9.7,0,0.1,4.1,6,4.5,8.9,13.4,2.1,0.7,1.6,2,4.1,15.1,0.566,0.568,0.333,0.567,0.684,0.612
250,2017-18,25,NOP,NBA,"Walt Lemon, Jr.",5,0,35,7.2,16.5,6.2,15.4,1,1,2.1,3.1,0,2.1,2.1,5.1,0,1,4.1,5.1,17.5,0.438,0.4,1,0.469,0.667,0.491
251,2017-18,25,ATL,NBA,Damion Lee,15,11,404,5.5,13.5,4.2,8.2,1.3,5.3,2,2.6,1,5.3,6.3,2.6,1.7,0.1,1.2,2.2,14.3,0.408,0.511,0.25,0.457,0.759,0.489
252,2017-18,32,NYK,NBA,Courtney Lee,76,69,2310,5.3,11.8,3.6,7.4,1.8,4.3,1.8,1.9,0.5,3,3.5,2.8,1.2,0.3,1.3,1.7,14.2,0.454,0.482,0.406,0.529,0.919,0.564
253,2017-18,20,IND,NBA,T.J. Leaf,53,0,459,5,10.7,3.6,7.4,1.4,3.3,0.8,1.3,2.3,4.2,6.4,0.7,0.4,0.3,0.8,3.5,12.2,0.471,0.489,0.429,0.537,0.625,0.545
