Rk,Player,Season,Age,Tm,Lg,G,VORP,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
80,Larry Bird,1984-85,28,BOS,NBA,20,1.6,20,815,196,425,189,400,7,25,121,136,53,129,182,115,34,19,57,54,520,0.461,0.473,0.28,0.469,0.89,0.536
Rk,Player,Season,Age,Tm,Lg,G,VORP,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
81,Larry Bird,1987-88,31,BOS,NBA,17,1.6,17,763,152,338,140,306,12,32,101,113,29,121,150,115,36,14,49,45,417,0.45,0.458,0.375,0.467,0.894,0.538
82,Kobe Bryant,2000-01,22,LAL,NBA,16,1.6,16,694,168,358,157,324,11,34,124,151,29,87,116,97,25,12,51,53,471,0.469,0.485,0.324,0.485,0.821,0.555
83,Kobe Bryant,2003-04,25,LAL,NBA,22,1.6,22,973,190,460,166,363,24,97,135,166,18,86,104,121,42,7,61,59,539,0.413,0.457,0.247,0.439,0.813,0.506
84,Kevin Garnett,2003-04,27,MIN,NBA,18,1.6,18,783,168,372,163,356,5,16,97,125,39,224,263,92,24,41,75,57,438,0.452,0.458,0.313,0.458,0.776,0.513
85,Draymond Green,2014-15,24,GSW,NBA,21,1.6,21,784,100,240,76,149,24,91,64,87,46,166,212,109,38,25,58,89,288,0.417,0.51,0.264,0.467,0.736,0.517
86,Jeff Hornacek,1995-96,32,UTA,NBA,18,1.6,18,644,104,207,70,149,34,58,73,82,22,43,65,60,19,3,27,41,315,0.502,0.47,0.586,0.585,0.89,0.648
87,Robert Horry,1994-95,24,HOU,NBA,22,1.6,22,841,93,209,49,99,44,110,58,78,40,115,155,76,32,26,25,69,288,0.445,0.495,0.4,0.55,0.744,0.592
88,Kawhi Leonard,2013-14,22,SAS,NBA,23,1.6,23,736,122,239,91,165,31,74,53,72,31,124,155,38,39,14,29,66,328,0.51,0.552,0.419,0.575,0.736,0.606
89,Rashard Lewis,2008-09,29,ORL,NBA,24,1.6,24,986,156,348,104,216,52,132,91,116,29,124,153,70,25,13,50,50,455,0.448,0.481,0.394,0.523,0.784,0.57
90,Karl Malone,1995-96,32,UTA,NBA,18,1.6,18,725,188,401,188,398,0,3,101,176,47,139,186,79,34,10,45,61,477,0.469,0.472,0,0.469,0.574,0.498
91,Reggie Miller,1999-00,34,IND,NBA,22,1.6,22,892,174,385,116,238,58,147,121,129,9,44,53,60,23,10,28,37,527,0.452,0.487,0.395,0.527,0.938,0.596
92,Shaquille O'Neal,2000-01,28,LAL,NBA,16,1.6,16,676,191,344,191,344,0,0,105,200,91,156,247,51,7,38,57,55,487,0.555,0.555,,0.555,0.525,0.564
93,Shaquille O'Neal,2001-02,29,LAL,NBA,19,1.6,19,776,203,384,203,384,0,0,135,208,67,172,239,54,10,48,62,62,541,0.529,0.529,,0.529,0.649,0.569
94,Robert Reid,1980-81,25,HOU,NBA,21,1.6,,868,139,303,139,301,0,2,61,92,56,86,142,98,50,24,44,80,339,0.459,0.462,0,0.459,0.663,0.493
95,John Stockton,1996-97,34,UTA,NBA,20,1.6,20,739,113,217,94,167,19,50,77,90,18,60,78,191,33,5,62,52,322,0.521,0.563,0.38,0.565,0.856,0.627
96,Pau Gasol,2007-08,27,LAL,NBA,21,1.5,21,836,141,266,141,266,0,0,72,104,55,140,195,83,11,40,44,60,354,0.53,0.53,,0.53,0.692,0.568
97,Paul George,2013-14,23,IND,NBA,19,1.5,19,781,138,315,86,186,52,129,101,128,13,132,145,73,41,7,49,56,429,0.438,0.462,0.403,0.521,0.789,0.578
98,Draymond Green,2016-17,26,GSW,NBA,17,1.5,17,593,72,161,40,83,32,78,46,67,20,135,155,110,31,28,36,60,222,0.447,0.482,0.41,0.547,0.687,0.583
99,Draymond Green,2017-18,27,GSW,NBA,17,1.5,17,653,68,163,50,98,18,65,35,44,38,160,198,137,33,25,58,57,189,0.417,0.51,0.277,0.472,0.795,0.518
100,James Harden,2014-15,25,HOU,NBA,17,1.5,17,636,129,294,88,187,41,107,163,178,12,85,97,128,28,7,77,49,462,0.439,0.471,0.383,0.509,0.916,0.62
