,GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS,PID
1,Shot Area,In The Paint (Non-RA),7,19,0.368,0,0,0.0,0.368,1,0.0,1.0,0.0,0.0,0.0,1.0,3,3,4,4,4,4,4,6,2,1,4,2,5,1,49,In The Paint (Non-RA),201976
2,Shot Area,Mid-Range,0,9,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,6,4,4,4,6,1,2,3,4,2,5,4,49,Mid-Range,201976
3,Shot Area,Left Corner 3,2,9,0.222,2,9,0.222,0.333,0,0.0,0.0,1.0,0.0,1.0,0.0,4,4,5,2,2,3,5,1,2,3,1,2,1,4,49,Left Corner 3,201976
4,Shot Area,Right Corner 3,1,2,0.5,1,2,0.5,0.75,0,0.0,0.0,1.0,0.0,1.0,0.0,5,6,2,3,3,1,1,1,2,3,1,2,1,4,49,Right Corner 3,201976
5,Shot Area,Above the Break 3,21,49,0.429,21,49,0.429,0.643,0,0.0,0.0,0.762,0.238,0.762,0.238,1,1,3,1,1,2,2,1,2,3,3,1,3,3,49,Above the Break 3,201976
6,Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,7,6,4,4,4,6,1,2,3,4,2,5,4,49,Backcourt,201976
0,Shot Area,Restricted Area,52,78,0.667,0,0,0.0,0.667,6,0.673,0.327,0.0,0.0,0.673,0.327,1,1,1,1,1,1,1,7,3,1,1,1,3,1,49,Restricted Area,203920
1,Shot Area,In The Paint (Non-RA),13,34,0.382,0,0,0.0,0.382,1,0.769,0.231,0.0,0.0,0.769,0.231,2,2,2,1,1,1,2,5,2,2,1,1,2,2,49,In The Paint (Non-RA),203920
2,Shot Area,Mid-Range,3,14,0.214,0,0,0.0,0.214,1,1.0,0.0,0.0,0.0,1.0,0.0,3,3,3,1,1,1,3,5,1,3,1,1,1,3,49,Mid-Range,203920
3,Shot Area,Left Corner 3,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,1,1,1,4,1,4,3,1,1,4,3,49,Left Corner 3,203920
