,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,CFID,CFPARAMS,PID
219,Overall,2017-18,81,47,34,0.58,36.1,108.9,103.2,5.7,0.243,2.28,23.7,0.024,0.107,0.067,10.4,0.543,0.57,0.229,103.13,0.118,615,1244,7.6,15.4,0.494,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,201950
220,Overall,2017-18,72,24,48,0.333,31.5,102.9,107.5,-4.7,0.097,1.65,13.9,0.014,0.125,0.068,8.5,0.474,0.513,0.181,101.36,0.069,290,782,4.0,10.9,0.371,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,203200
221,Overall,2017-18,24,17,7,0.708,7.3,105.1,112.5,-7.4,0.04,0.63,6.4,0.041,0.119,0.081,10.3,0.381,0.417,0.186,100.41,0.034,17,59,0.7,2.5,0.288,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,204066
222,Overall,2017-18,68,26,42,0.382,28.2,105.3,108.4,-3.1,0.143,1.38,14.5,0.055,0.197,0.126,10.5,0.481,0.548,0.222,102.02,0.119,342,724,5.0,10.6,0.472,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1626178
223,Overall,2017-18,48,30,18,0.625,15.5,105.3,106.2,-0.9,0.122,2.44,17.3,0.084,0.206,0.148,7.1,0.568,0.585,0.166,102.63,0.115,135,241,2.8,5.0,0.56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1626158
224,Overall,2017-18,60,29,31,0.483,26.9,107.2,108.6,-1.4,0.097,1.36,9.8,0.016,0.102,0.059,7.2,0.513,0.546,0.247,98.04,0.09,322,751,5.4,12.5,0.429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,203918
225,Overall,2017-18,1,0,1,0.0,8.4,87.1,123.0,-35.9,0.2,1.0,25.8,0.0,0.0,0.0,25.8,0.0,0.266,0.117,114.12,-0.031,0,1,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,203816
226,Overall,2017-18,72,47,25,0.653,31.6,108.2,101.1,7.1,0.225,2.57,26.6,0.052,0.197,0.128,10.3,0.553,0.575,0.187,97.74,0.134,368,753,5.1,10.5,0.489,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,201143
227,Overall,2017-18,23,6,17,0.261,17.5,104.4,104.8,-0.4,0.092,2.27,14.0,0.037,0.162,0.103,6.2,0.492,0.533,0.166,101.18,0.091,56,129,2.4,5.6,0.434,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1627863
228,Overall,2017-18,81,35,46,0.432,30.4,108.1,106.4,1.7,0.069,0.5,7.1,0.112,0.327,0.22,14.1,0.556,0.577,0.241,100.96,0.136,506,911,6.2,11.2,0.555,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,2730
