,GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION
425,0021800043,603,1,1,4,10:11 PM,4:14,,,Bogdanovic 25' 3PT Jump Shot (20 PTS) (Oladipo 2 AST),84 - 95,11,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,203506,Victor Oladipo,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
140,0021800058,204,2,1,2,9:14 PM,6:44,,,MISS Bogdanovic  3PT Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
217,0021800058,319,1,1,3,9:49 PM,9:37,,,Bogdanovic 28' 3PT Jump Shot (5 PTS) (Collison 3 AST),67 - 55,-12,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,201954,Darren Collison,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
250,0021800058,360,2,1,3,9:57 PM,6:54,,,MISS Bogdanovic 26' 3PT Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
262,0021800058,375,2,79,3,9:59 PM,5:22,,,MISS Bogdanovic 30' 3PT Pullup Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
13,0021800077,23,1,105,1,7:44 PM,9:54,,,Bogdanovic 7' Turnaround Fadeaway Bank Jump Shot (2 PTS),4 - 2,-2,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
15,0021800077,26,1,1,1,7:44 PM,9:20,,,Bogdanovic 26' 3PT Jump Shot (5 PTS) (Young 2 AST),7 - 4,-3,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,201152,Thaddeus Young,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
114,0021800077,171,1,1,2,8:12 PM,10:35,,,Bogdanovic 20' Jump Shot (7 PTS) (McDermott 1 AST),32 - 34,2,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,203926,Doug McDermott,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
123,0021800077,184,2,1,2,8:15 PM,9:31,,,MISS Bogdanovic 27' 3PT Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
244,0021800077,354,1,1,3,9:00 PM,7:04,,,Bogdanovic 24' 3PT Jump Shot (20 PTS) (Young 3 AST),77 - 63,-14,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,201152,Thaddeus Young,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
267,0021800077,386,2,1,3,9:07 PM,4:48,,,MISS Bogdanovic 28' 3PT Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
300,0021800077,435,2,1,3,9:14 PM,1:31,,,MISS Bogdanovic 24' 3PT Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
395,0021800077,569,1,1,4,9:43 PM,2:41,,,Bogdanovic 15' Jump Shot (25 PTS) (Joseph 4 AST),115 - 99,-16,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,202709,Cory Joseph,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
62,0021800087,90,2,80,1,7:25 PM,5:15,MISS Bogdanovic 18' Step Back Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
149,0021800087,210,2,1,2,7:47 PM,7:48,MISS Bogdanovic 24' 3PT Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
182,0021800087,256,1,1,2,7:57 PM,4:27,Bogdanovic  3PT Jump Shot (5 PTS) (Oladipo 4 AST),,,39 - 34,-5,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,203506,Victor Oladipo,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
195,0021800087,277,1,1,2,7:59 PM,2:34,Bogdanovic 26' 3PT Jump Shot (8 PTS) (Oladipo 6 AST),,,43 - 43,TIE,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,203506,Victor Oladipo,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
201,0021800087,284,2,1,2,8:01 PM,1:28,MISS Bogdanovic 26' 3PT Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
270,0021800087,377,2,1,3,8:33 PM,5:30,MISS Bogdanovic 27' 3PT Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
312,0021800087,435,2,79,3,8:43 PM,1:13,MISS Bogdanovic 12' Pullup Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
437,0021800087,615,2,104,4,9:19 PM,0:48,MISS Bogdanovic 24' 3PT Step Back Bank Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
267,0021800105,388,2,1,3,9:44 PM,4:07,,,MISS Bogdanovic 17' Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
383,0021800105,567,1,1,4,10:18 PM,4:12,,,Bogdanovic  3PT Jump Shot (10 PTS) (Joseph 6 AST),94 - 95,1,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,202709,Cory Joseph,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
